"sifir_id","marka_adi","model_adi","versiyon","yakit","vites","guc_hp","liste_fiyati","kampanya_fiyati","tsb_tip_kodu","tsb_tip_adi","eslestirme","skor"
"305","Alfa Romeo","Junior İbrida","Speciale 1.2 Hybrid VGT 145 HP","Mild Hibrit","Otomatik","136","2668200","0","1060","JUNIOR IBRIDA SPECIALE+ 1.2 136 HYBRID","fiyat_exact","100"
"304","Alfa Romeo","Junıor Elettrıca","Speciale 115 kW 156 HP","Elektrik","Otomatik","115","2474300","0","1059","JUNIOR ELETTRICA SPECIALE+ 115KW (156)","fiyat_exact","100"
"302","Alfa Romeo","Tonale","TI 1.6 Diesel 130hp DCT","Mild Hibrit","Otomatik","130","3400000","0",,,"no_match","-1"
"303","Alfa Romeo","Tonale","Speciale Hybrid 175","Mild Hibrit","Otomatik","175","3727000","0","1058","TONALE SPECIALE 1.5 VGT 175 HYBRID DCT","fiyat_exact","100"
"326","Audi","A3 Allstreet","Base 35 Turbo FSI 150 hp S tronic","Benzin","Otomatik","150","4391612","0","1617","A3 ALLSTREET 35 TFSI 150 STRONIC FL","fiyat_exact","100"
"307","Audi","A3 Sedan","Advanced 35 Turbo FSI 150 hp Advanced S tronic PI","Benzin","Otomatik","110","4184036","0","1618","A3 SEDAN 35 TFSI 150 ADVANCED STRONIC PI FL","fiyat_exact","100"
"308","Audi","A3 Sedan","S line 35 Turbo FSI 150 hp S line S tronic PI","Benzin","Otomatik","150","4663484","0","1619","A3 SEDAN 35 TFSI 150 S LINE STRONIC PI FL","fiyat_exact","100"
"309","Audi","A3 Sportback","Advanced 35 Turbo FSI 150 hp Advanced S tronic PI","Benzin","Otomatik","150","3519107","0","1615","A3 SPORTBACK 35 TFSI 150 ADVANCED STR. PI FL","fiyat_exact","100"
"310","Audi","A3 Sportback","S line 35 Turbo FSI 150 hp S line S tronic PI","Benzin","Otomatik","150","4529948","0","1616","A3 SPORTBACK 35 TFSI 150 S LINE STRONIC PI FL","fiyat_exact","100"
"352","Audi","A5 Avant","Base TFSI quattro 150 kW S tronic","Benzin","Otomatik","201","8094051","0","1643","A5 AVANT 2.0 TFSI QUATTRO 204 STRONIC","fiyat_exact","100"
"353","Audi","A5 Avant","Base TDI quattro 150 kW S tronic","Dizel","Otomatik","201","8439759","0","1629","A5 AVANT 2.0 TDI QUATTRO 204 STRONIC","fiyat_exact","100"
"322","Audi","A5 Sedan","Base TFSI quattro 150 kW S tronic","Benzin","Otomatik","204","7831935","0","1640","A5 SEDAN 2.0 TFSI QUATTRO 204 STRONIC","fiyat_exact","100"
"323","Audi","A5 Sedan","Base TDI quattro 150 kW S tronic","Dizel","Otomatik","204","8177319","0","1627","A5 SEDAN 2.0 TDI QUATTRO 204 STRONIC","fiyat_exact","100"
"324","Audi","A5 Sedan","Base TFSI quattro 200 kW","Benzin","Otomatik","272","8427711","0","1667","A5 SEDAN 2.0 TFSI QUATTRO 200KW","hp_model","97"
"341","Audi","A6 Avant e-tron","Base e-tron","Elektrik","Otomatik","0","8121061","0","1633","A6 AVANT E-TRON","hp_model","57"
"342","Audi","A6 Avant e-tron","Base e-tron performance","Elektrik","Otomatik","0","9384393","0","1634","A6 AVANT E-TRON PERFORMANCE","hp_model","65"
"318","Audi","A6 Sedan","Base TDI 150 kW quattro","Dizel","Otomatik","201","10255423","0","1670","A6 SEDAN 2.0 TDI 150KW QUATTRO","fiyat_exact","100"
"319","Audi","A6 Sedan","Base e-hybrid quattro 270 kW","Mild Hibrit","Otomatik","362","12291050","0","1669","A6 SEDAN E-HYBRID 270KW QUATTRO","fiyat_exact","100"
"329","Audi","A6 Sportback e-tron","Base e-tron","Elektrik","Otomatik","0","7946971","0","1636","A6 SPORTBACK E-TRON","hp_model","57"
"330","Audi","A6 Sportback e-tron","Base e-tron performance","Elektrik","Otomatik","0","9210303","0","1637","A6 SPORTBACK E-TRON PERFORMANCE","hp_model","65"
"331","Audi","A6 Sportback e-tron","Base e-tron quattro","Elektrik","Otomatik","0","9618123","0","1638","A6 SPORTBACK E-TRON QUATTRO","hp_model","65"
"334","Audi","A8 L","S Line 55 TFSI quattro 340 hp Tiptronic PI","Benzin","Otomatik","340","23810860","0","1575","Q7 S LINE 55 TFSI 340 QUATTRO TIPTRONIC PI","hp_model","111"
"335","Audi","A8 L","S Line 50 TDI quattro 286 hp Tiptronic PI","Dizel","Otomatik","286","23810860","0","1456","Q7 S LINE 50 TDI 286 QUATTRO TIPTRONIC PI","hp_model","111"
"343","Audi","E-tron GT Quattro","Quattro 93.4 kWh (530 BG)","Elektrik","Otomatik","94","11781186","0","1658","E-TRON GT QUATTRO FL","fiyat_exact","100"
"306","Audi","Q2","Advanced 35 Turbo FSI 150 hp S tronic","Benzin","Otomatik","150","3636983","0","1535","Q2 35 TFSI 150 ADVANCED STRONIC PI","fiyat_exact","100"
"313","Audi","Q3 Sportback","S line 35 Turbo FSI 150 hp S tronic","Benzin","Otomatik","150","5321132","0","1663","Q3 SPORTBACK TFSI 1.5 150 S TRONIC","fiyat_exact","100"
"338","Audi","Q4 e-tron","Base 40 e-tron","Elektrik","Otomatik","82","4604572","0","1550","Q4 40 E-TRON","fiyat_exact","100"
"339","Audi","Q4 e-tron","Base  45 e-tron","Elektrik","Otomatik","82","5717317","0","1621","Q4 45 E-TRON","fiyat_exact","100"
"327","Audi","Q4 Sportback e-tron","Base 40 e-tron","Elektrik","Otomatik","82","4762300","0","1647","Q4 40 E-TRON SPORTBACK","fiyat_exact","100"
"328","Audi","Q4 Sportback e-tron","Base 45 e-tron","Elektrik","Otomatik","82","5895607","0","1623","Q4 45 E-TRON SPORTBACK","fiyat_exact","100"
"320","Audi","Q5","Base TFSI quattro 150 kW S tronic","Benzin","Otomatik","201","9231259","0","1654","Q5 2.0 TFSI QUATTRO 204 STRONIC","fiyat_exact","100"
"321","Audi","Q5","Base TDI quattro 150 kW S tronic","Dizel","Otomatik","201","9551047","0","1653","Q5 2.0 TDI QUATTRO 204 STRONIC","fiyat_exact","100"
"332","Audi","Q5 Sportback","Base TFSI quattro 150 kW S tronic","Benzin","Otomatik","201","9933043","0","1656","Q5 SPORTBACK 2.0 TFSI QUATTRO 204 STRONIC","fiyat_exact","100"
"333","Audi","Q5 Sportback","Base TDI quattro 150 kW S tronic","Dizel","Otomatik","201","10253155","0","1655","Q5 SPORTBACK 2.0 TDI QUATTRO 204 STRONIC","fiyat_exact","100"
"348","Audi","Q6 Sportback e-tron","Base e-tron quattro","Elektrik","Otomatik","0","9326559","0","1632","Q6 SPORTBACK E-TRON QUATTRO","hp_model","65"
"354","Audi","Q6 Suv e-tron","Base e-tron 55 quattro","Elektrik","Otomatik","0","9093459","0","1622","Q4 55 E-TRON QUATTRO","hp_model","47"
"311","Audi","Q7","S line 45 TFSI quattro tiptronic","Benzin","Otomatik","265","11282146","0","1625","Q7 S LINE 45 TFSI 265 QUATTRO TIPTRONIC PI","fiyat_exact","100"
"312","Audi","Q7","S line 50 TDI quattro 286 hp Tiptronic PI","Dizel","Otomatik","286","14495634","0","1456","Q7 S LINE 50 TDI 286 QUATTRO TIPTRONIC PI","fiyat_exact","100"
"314","Audi","Q8","quattro 45 TFSI 265 hp Tiptronic PI","Benzin","Otomatik","265","13407813","0","1613","Q8 45 TFSI QUATTRO 265 TIPTRONIC PI","hp_model","111"
"315","Audi","Q8","quattro 50 TDI 286 hp Tiptronic PI","Dizel","Otomatik","286","17229100","0","1456","Q7 S LINE 50 TDI 286 QUATTRO TIPTRONIC PI","hp_model","103"
"336","Audi","Rs 3 Sedan","Quattro TFSI 294 kW S tronic","Benzin","Otomatik","400","11159295","0","1642","RS3 SEDAN 2.5 TFSI 400 QUATTRO S TRONIC FL","fiyat_exact","100"
"345","Audi","RS E-tron GT","Quattro performance 93.4 kWh (530 BG)","Elektrik","Otomatik","150","16916736","0","1659","RS E-TRON GT PERFORMANCE QUATTRO FL","fiyat_exact","100"
"337","Audi","Rs e-tron GT Performance","Base 570 kW PS quattro","Benzin","Otomatik",,"16916736","0","1659","RS E-TRON GT PERFORMANCE QUATTRO FL","fiyat_exact","100"
"325","Audi","RS Q8","Quattro 4.0 Turbo FSI quattro 641 hp","Benzin","Otomatik","641","27268070","0","1639","RS Q8 4.0 TFSI QUATTRO 641 PERFORMANCE","hp_model","103"
"346","Audi","RS3 Sportback","Base  TFSI quattro 294 kW S tronic","Benzin","Otomatik",,"10869375","0","1641","RS3 SPORTBACK 2.5TFSI 400 QUATTRO STRONICFL","fiyat_exact","100"
"355","Audi","S e-tron GT","Base 435 kW PS quattro","Elektrik","Otomatik","435","13309902","0","1661","S E-TRON GT","fiyat_exact","100"
"340","Audi","S3 Sedan","Quattro 2.0 Turbo FSI 310 hp S tronic","Benzin","Otomatik","310","8346901","0","1620","S3 SEDAN 2.0 TFSI QUATTRO 333 S TRONIC PI","fiyat_exact","100"
"344","Audi","S3 Sportback","Quattro 2.0 Turbo FSI 310 hp S tronic","Benzin","Otomatik","310","8166627","0","1563","S3 SPORTBACK 2.0 TFSI QUATTRO 310 S TRONIC","fiyat_exact","100"
"351","Audi","S5 Avant","Quattro TFSI 270 kW S tronic","Elektrik","Otomatik","0","15186182","0","1651","S5 AVANT 3.0 TFSI QUATTRO 367 STRONIC","fiyat_exact","100"
