"marka_kodu","tip_kodu","marka_adi","tip_adi","sifir_fiyat_id","eslestirme_yontem","eslestirme_skor","sf_marka_adi","sf_model_adi","sf_versiyon","sf_yakit","sf_vites","sf_guc","sf_liste_fiyati","sf_kampanya_fiyati","sf_scrape_date","updated_at"
"576","1009","ADRIA","CORAL XL 600 DP",,,,,,,,,,,,,"2026-06-17T19:01:39.986388+00:00"
"576","1010","ADRIA","MATRIX PLUS 670 DC PLUS MOTOKARAVAN",,,,,,,,,,,,,"2026-06-17T19:01:39.986388+00:00"
"576","1012","ADRIA","TWIN SUPREME 600 SPB",,,,,,,,,,,,,"2026-06-17T19:01:39.986388+00:00"
"3","1059","ALFA ROMEO","JUNIOR ELETTRICA SPECIALE+ 115KW (156)","304","fiyat_exact","100","Alfa Romeo","Junıor Elettrıca","Speciale 115 kW 156 HP","Elektrik","Otomatik","115","2474300",,"2026-06-16","2026-06-17T19:01:12.822051+00:00"
"3","1060","ALFA ROMEO","JUNIOR IBRIDA SPECIALE+ 1.2 136 HYBRID","305","fiyat_exact","100","Alfa Romeo","Junior İbrida","Speciale 1.2 Hybrid VGT 145 HP","Mild Hibrit","Otomatik","136","2668200",,"2026-06-16","2026-06-17T19:01:12.822051+00:00"
"3","1058","ALFA ROMEO","TONALE SPECIALE 1.5 VGT 175 HYBRID DCT","303","fiyat_exact","100","Alfa Romeo","Tonale","Speciale Hybrid 175","Mild Hibrit","Otomatik","175","3727000",,"2026-06-16","2026-06-17T19:01:12.822051+00:00"
"587","1005","ALPINE","A290 GT PERFORMANCE",,,,,,,,,,,,,"2026-06-17T19:01:39.986388+00:00"
"587","1004","ALPINE","A290 GTS",,,,,,,,,,,,,"2026-06-17T19:01:39.986388+00:00"
"725","1006","ASTRA","KAMYON HD9 8451 OF 510 CV",,,,,,,,,,,,,"2026-06-17T19:01:45.788331+00:00"
"9","1617","AUDI","A3 ALLSTREET 35 TFSI 150 STRONIC FL","326","fiyat_exact","100","Audi","A3 Allstreet","Base 35 Turbo FSI 150 hp S tronic","Benzin","Otomatik","150","4391612",,"2026-06-16","2026-06-17T19:01:12.93382+00:00"
"9","1618","AUDI","A3 SEDAN 35 TFSI 150 ADVANCED STRONIC PI FL","307","fiyat_exact","100","Audi","A3 Sedan","Advanced 35 Turbo FSI 150 hp Advanced S tronic PI","Benzin","Otomatik","110","4184036",,"2026-06-16","2026-06-17T19:01:12.93382+00:00"
"9","1619","AUDI","A3 SEDAN 35 TFSI 150 S LINE STRONIC PI FL","308","fiyat_exact","100","Audi","A3 Sedan","S line 35 Turbo FSI 150 hp S line S tronic PI","Benzin","Otomatik","150","4663484",,"2026-06-16","2026-06-17T19:01:13.031324+00:00"
"9","1615","AUDI","A3 SPORTBACK 35 TFSI 150 ADVANCED STR. PI FL","309","fiyat_exact","100","Audi","A3 Sportback","Advanced 35 Turbo FSI 150 hp Advanced S tronic PI","Benzin","Otomatik","150","3519107",,"2026-06-16","2026-06-17T19:01:12.93382+00:00"
"9","1616","AUDI","A3 SPORTBACK 35 TFSI 150 S LINE STRONIC PI FL","310","fiyat_exact","100","Audi","A3 Sportback","S line 35 Turbo FSI 150 hp S line S tronic PI","Benzin","Otomatik","150","4529948",,"2026-06-16","2026-06-17T19:01:12.93382+00:00"
"9","1629","AUDI","A5 AVANT 2.0 TDI QUATTRO 204 STRONIC","353","fiyat_exact","100","Audi","A5 Avant","Base TDI quattro 150 kW S tronic","Dizel","Otomatik","201","8439759",,"2026-06-16","2026-06-17T19:01:13.031324+00:00"
"9","1668","AUDI","A5 AVANT 2.0 TFSI QUATTRO 200KW",,,,,,,,,,,,,"2026-06-17T19:01:13.429932+00:00"
"9","1643","AUDI","A5 AVANT 2.0 TFSI QUATTRO 204 STRONIC","352","fiyat_exact","100","Audi","A5 Avant","Base TFSI quattro 150 kW S tronic","Benzin","Otomatik","201","8094051",,"2026-06-16","2026-06-17T19:01:13.232212+00:00"
"9","1627","AUDI","A5 SEDAN 2.0 TDI QUATTRO 204 STRONIC","323","fiyat_exact","100","Audi","A5 Sedan","Base TDI quattro 150 kW S tronic","Dizel","Otomatik","204","8177319",,"2026-06-16","2026-06-17T19:01:13.031324+00:00"
"9","1667","AUDI","A5 SEDAN 2.0 TFSI QUATTRO 200KW","324","hp_model","97","Audi","A5 Sedan","Base TFSI quattro 200 kW","Benzin","Otomatik","272","8427711",,"2026-06-16","2026-06-17T19:01:13.33338+00:00"
"9","1640","AUDI","A5 SEDAN 2.0 TFSI QUATTRO 204 STRONIC","322","fiyat_exact","100","Audi","A5 Sedan","Base TFSI quattro 150 kW S tronic","Benzin","Otomatik","204","7831935",,"2026-06-16","2026-06-17T19:01:13.132763+00:00"
"9","1665","AUDI","A6 2.0 TFSI 200KW QUATTRO",,,,,,,,,,,,,"2026-06-17T19:01:13.33338+00:00"
"9","1664","AUDI","A6 3.0 TDI 220KW QUATTRO",,,,,,,,,,,,,"2026-06-17T19:01:13.33338+00:00"
"9","1606","AUDI","A6 40 2.0 TDI QUATTRO 204 S LINE STRONIC",,,,,,,,,,,,,"2026-06-17T19:01:12.93382+00:00"
"9","1646","AUDI","A6 AVANT 2.0 TDI QUATTRO 204 STRONIC","349","fiyat_exact","100","Audi","Yeni A6 Avant","Base TDI quattro 150 kW","Dizel","Otomatik",,"10744630",,"2026-06-16","2026-06-17T19:01:13.232212+00:00"
"9","1666","AUDI","A6 AVANT 2.0 TFSI 200KW QUATTRO","350","fiyat_exact","100","Audi","Yeni A6 Avant","Base TFSI 200 kW quattro","Benzin","Otomatik","268","10993722",,"2026-06-16","2026-06-17T19:01:13.33338+00:00"
"9","1633","AUDI","A6 AVANT E-TRON","341","hp_model","57","Audi","A6 Avant e-tron","Base e-tron","Elektrik","Otomatik","0","8121061",,"2026-06-16","2026-06-17T19:01:13.132763+00:00"
